subjID,exptPart,trialNumber,roleCurrent,marblesSampled,asymm,probBullshitterRed,probBullshitDetectorRed,probGlobal,drawnRed,reportedDrawn,compLie,compUnifLie,compDetect,callBS,playerTrialScore,oppTrialScore,playerTotalScore,oppTotalScore,waitTime,responseTime,catchQuestion,catchKey,catchResponse,catchResponseTime,pseudoRound,trialTime
sona-29978,trial,50,bullshitDetector,10,True,0.5,0.8,0.51875,7,10,-1,False,0.8221225472000001,True,5,-5,106,174,6797.053846660283,12427,How many red marbles did you actually draw?,-1,-1,-1,True,21718
sona-29978,trial,51,bullshitter,10,True,0.5,0.8,0.51875,2,5,-1,False,-0.091396864,False,5,5,111,179,3002.045243601001,61068,How many red marbles did you actually draw?,-1,-1,-1,False,68219
sona-29978,trial,52,bullshitDetector,10,False,0.8,0.8,0.8,9,9,7,False,-1,True,-4,9,107,188,5656.098414333717,30195,What was the proportion of red to blue marbles from your opponent's perspective?,NA,95,8910,False,46605
sona-29978,trial,53,bullshitter,10,True,0.5,0.2,0.48125,7,5,-1,False,0.8158310912000002,True,-5,5,102,193,2489.2508059401716,6470,What was the proportion of red to blue marbles from your opponent's perspective?,-1,-1,-1,False,24600
sona-29978,trial,54,bullshitDetector,10,True,0.5,0.2,0.48125,2,3,3,False,-1,False,7,3,109,196,6706.133621059482,84091,What was the proportion of red to blue marbles from your opponent's perspective?,-1,-1,-1,False,92056
sona-29978,trial,55,bullshitter,10,True,0.8,0.2,0.7625,9,6,-1,False,0.8213361152000002,False,6,4,115,200,3129.903825117363,4790,What was the proportion of red to blue marbles from your opponent's perspective?,-1,-1,-1,False,17717
sona-29978,trial,56,bullshitDetector,10,True,0.8,0.2,0.7625,8,8,3,False,-1,True,-3,8,112,208,5557.6255627241735,19679,What was the proportion of red to blue marbles from your opponent's perspective?,-1,-1,-1,False,26533
sona-29978,trial,57,bullshitter,10,True,0.5,0.8,0.51875,3,6,-1,False,-0.0033164800000000383,False,6,4,118,212,2115.722751620599,134697,What was the proportion of red to blue marbles from your opponent's perspective?,-1,-1,-1,False,141159
sona-29978,trial,58,bullshitDetector,10,True,0.8,0.5,0.78125,7,7,7,False,-1,False,3,7,121,219,5487.615601692049,20603,What was the proportion of red to blue marbles from your opponent's perspective?,-1,-1,-1,False,27358
sona-29978,trial,59,bullshitter,10,True,0.5,0.2,0.48125,8,6,-1,False,0.8213361152000002,True,-5,5,116,224,2800.25603023902,5975,What was the proportion of red to blue marbles from your opponent's perspective?,-1,-1,-1,True,36499
sona-29978,trial,60,bullshitDetector,10,True,0.2,0.8,0.2375,3,8,8,False,-1,True,5,-5,121,219,6414.3590183477045,19868,How many red marbles did your opponent report drawing?,8,8,4876,False,33080
sona-29978,trial,61,bullshitter,10,True,0.2,0.5,0.21875,2,7,-1,False,0.822265625,True,-5,5,116,224,2567.750956096261,3838,How many red marbles did your opponent report drawing?,-1,-1,-1,False,11836
sona-29978,trial,62,bullshitDetector,10,False,0.5,0.5,0.5,7,7,2,False,-1,False,3,7,119,231,7138.062102227038,66232,How many red marbles did your opponent report drawing?,-1,-1,-1,False,74713
sona-29978,trial,63,bullshitter,10,True,0.8,0.5,0.78125,6,6,-1,False,0.705078125,True,6,-1,125,230,2675.617828477987,16949,How many red marbles did your opponent report drawing?,-1,-1,-1,False,31069
sona-29978,trial,64,bullshitDetector,10,False,0.8,0.8,0.8,8,0,-1,False,0.705078125,False,10,0,135,230,6125.171662595099,8309,How many red marbles did your opponent report drawing?,-1,-1,-1,True,15984
sona-29978,trial,65,bullshitter,10,False,0.5,0.5,0.5,4,6,-1,False,0.705078125,False,6,4,141,234,2905.3330317842037,49267,How many red marbles did your opponent report drawing?,-1,-1,-1,False,65211
sona-29978,trial,66,bullshitDetector,10,True,0.2,0.8,0.2375,4,9,9,False,-1,True,5,-5,146,229,5561.407072450576,35682,How many red marbles did your opponent report drawing?,-1,-1,-1,False,42577
sona-29978,trial,67,bullshitter,10,True,0.5,0.2,0.48125,3,7,-1,False,0.8221225472000001,True,-5,5,141,234,2953.2937696118424,51114,How many red marbles did your opponent report drawing?,-1,-1,-1,False,67273
sona-29978,trial,68,bullshitDetector,10,True,0.8,0.2,0.7625,9,9,3,False,-1,True,-4,9,137,243,5295.620377822865,1626,How many red marbles did your opponent report drawing?,-1,-1,-1,False,8202
sona-29978,trial,69,bullshitter,10,False,0.5,0.5,0.5,10,6,-1,False,0.705078125,False,6,4,143,247,3200.141480242898,4982,How many red marbles did your opponent report drawing?,-1,-1,-1,True,13474
sona-29978,trial,70,bullshitDetector,10,False,0.5,0.5,0.5,6,5,-1,True,0.705078125,False,5,5,148,252,6009.048375180228,20827,How many red marbles did your opponent report drawing?,-1,-1,-1,False,28291
sona-29978,trial,71,bullshitter,10,True,0.2,0.8,0.2375,3,7,-1,False,0.1980101119999999,True,-5,5,143,257,2507.9803591776335,62900,How many red marbles did your opponent report drawing?,-1,-1,-1,False,74380
sona-29978,trial,72,bullshitDetector,10,True,0.2,0.5,0.21875,3,4,-1,True,0.1980101119999999,False,6,4,149,261,5803.650899837676,18700,How many red marbles did your opponent report drawing?,-1,-1,-1,False,25792
sona-29978,trial,73,bullshitter,10,True,0.2,0.5,0.21875,2,9,-1,False,0.8759765625,True,-5,5,144,266,2769.748011993825,3877,How many red marbles did your opponent report drawing?,-1,-1,-1,False,41933
sona-29978,trial,74,bullshitDetector,10,False,0.2,0.2,0.2,1,1,0,False,-1,False,9,1,153,267,5959.782857344342,3012,How many red marbles did your opponent report drawing?,-1,-1,-1,False,10174
sona-29978,trial,75,bullshitter,10,True,0.8,0.2,0.7625,7,6,-1,False,0.8213361152000002,True,-5,5,148,272,2187.513159130284,32619,How many red marbles did your opponent report drawing?,-1,-1,-1,False,39828
sona-29978,trial,76,bullshitDetector,10,True,0.8,0.2,0.7625,8,8,1,False,-1,True,-3,8,145,280,7494.119399481945,10068,How many red marbles did your opponent report drawing?,-1,-1,-1,False,18876
sona-29978,trial,77,bullshitter,10,False,0.2,0.2,0.2,6,4,-1,False,0.7894069760000002,True,-5,5,140,285,2765.754344495055,6889,How many red marbles did your opponent report drawing?,-1,-1,-1,True,23370
sona-29978,trial,78,bullshitDetector,10,True,0.2,0.5,0.21875,3,7,-1,False,0.7894069760000002,False,3,7,143,292,6244.119549883841,96858,How many red marbles did your opponent report drawing?,-1,-1,-1,True,104604
sona-29978,trial,79,bullshitter,10,True,0.2,0.8,0.2375,2,7,-1,False,0.1980101119999999,False,7,3,150,295,2291.8098658695035,50535,How many red marbles did your opponent report drawing?,-1,-1,-1,False,78876
sona-29978,trial,80,bullshitDetector,10,True,0.5,0.8,0.51875,5,1,-1,True,0.1980101119999999,False,9,1,159,296,5414.930110719501,33680,How many red marbles did your opponent report drawing?,-1,-1,-1,False,40463
sona-29978,trial,81,bullshitter,10,True,0.2,0.5,0.21875,3,6,-1,False,0.705078125,True,-5,5,154,301,2977.143122966569,17747,How many red marbles did you actually draw?,3,4,13886,False,47349
sona-29978,trial,82,bullshitDetector,10,True,0.2,0.5,0.21875,3,7,-1,True,0.705078125,True,5,-5,159,296,6322.232209986163,65998,How many red marbles did your opponent report drawing?,7,7,3710,False,77364
sona-29978,trial,83,bullshitter,10,False,0.8,0.8,0.8,10,0,-1,False,-0.12419025919999997,False,0,10,159,306,3169.893568370799,4577,How many red marbles did your opponent report drawing?,-1,-1,-1,False,15803
sona-29978,trial,84,bullshitDetector,10,True,0.5,0.2,0.48125,3,1,-1,False,-0.12419025919999997,False,9,1,168,307,5434.994610782947,8135,How many red marbles did your opponent report drawing?,-1,-1,-1,True,14940
sona-29978,trial,85,bullshitter,10,True,0.8,0.2,0.7625,9,5,-1,False,0.8158310912000002,False,5,5,173,312,3203.5047513467052,5329,How many red marbles did your opponent report drawing?,-1,-1,-1,False,16236
